track_id,"('echonest', 'audio_features', 'acousticness')","('echonest', 'audio_features', 'danceability')","('echonest', 'audio_features', 'energy')","('echonest', 'audio_features', 'instrumentalness')","('echonest', 'audio_features', 'liveness')","('echonest', 'audio_features', 'speechiness')","('echonest', 'audio_features', 'tempo')","('echonest', 'audio_features', 'valence')","('track', 'genre_top')"
2,0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712,0.1593100648,165.922,0.576660988,Hip-Hop
5,0.0435668989,0.7455658702,0.7014699916,0.000696799,0.3731433124,0.1245953419,100.26,0.6216612236,Hip-Hop
10,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.562,0.9635898919,Pop
140,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,0.0390682262,107.952,0.6099912728,Folk
141,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694,0.0266578493,33.477,0.1639499337,Folk
190,0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942,0.0325288108,100.919,0.2512323052,Folk
193,0.9140388753,0.6406010435,0.1640712523,0.7605621934,0.2583990328,0.0992103212,49.831,0.190789711,Folk
194,0.9929059493,0.4947301766,0.2003375585,0.618086852,0.0864499383,0.0389377953,103.779,0.2532444151,Folk
197,0.983585184,0.6026565649,0.0070436969,0.7917134418,0.0800219127,0.4211134428,128.698,0.7700094571,Folk
200,0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.1700761208,0.0378251053,200.391,0.3677399293,Folk
203,0.9927647775,0.5889867604,0.1379182946,0.0873760557,0.0957687898,0.0584639744,122.31,0.6310426834,Folk
204,0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,0.0394289715,105.012,0.2535385321,Folk
207,0.9872581156,0.6337333928,0.0089874678,0.91008157,0.1079745759,0.2486733219,49.581,0.7088659407,Folk
210,0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,0.0344977278,96.845,0.2727912235,Folk
211,0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741,0.0298381006,95.105,0.1546003066,Folk
212,0.8440504744,0.6687378163,0.3569577601,0.0298648372,0.6185204718,0.0289271098,100.117,0.3488174034,Folk
213,0.933741035,0.3127198225,0.3409990466,0.9192423237,0.0829758431,0.032745236,142.499,0.0430538151,Pop
255,0.9873281737,0.7035909913,0.4357120518,0.9017230301,0.1137581203,0.0676240084,122.811,0.9108207732,Rock
256,0.4302465419,0.2620499343,0.9720856699,0.8966929619,0.4073435898,0.151244955,118.281,0.0617962599,Rock
368,0.6372758449,0.3129760859,0.1164692389,0.5407334524,0.1017832597,0.0482104514,135.812,0.0761348547,Rock
534,0.9954284179,0.3114615442,0.1438200274,0.9195401144,0.1202089823,0.0404929027,79.795,0.4733627871,Folk
540,0.9957162406,0.4485085105,0.148548727,0.9423216421,0.1162726601,0.046574613,45.532,0.3559093211,Folk
546,0.9956504513,0.5716136809,0.2128768901,0.9425357801,0.1128822634,0.0683075865,98.047,0.4441029627,Folk
574,0.3049734899,0.0776074462,0.985285921,0.6842740657,0.3111749891,0.0672688702,178.194,0.2626510913,Rock
602,0.9874326721,0.3208894632,0.0574058783,0.7858920004,0.0920788278,0.0401459234,75.739,0.0600717329,Folk
620,0.8852881115,0.7879726403,0.2364810285,0.9077923919,0.1175990858,0.0365775796,140.057,0.4772115046,Folk
621,0.9763283789,0.3374758924,0.3387460962,0.7089930973,0.1168317399,0.0331432935,99.978,0.1846307315,Folk
625,0.984743848,0.3434473556,0.2938124533,0.0576944525,0.0964654294,0.0298711645,92.749,0.0974817452,Folk
690,0.0403489418,0.2967392425,0.9564261719,0.9340780549,0.6100837294,0.0760720385,146.953,0.3121138885,Rock
694,0.1458427055,0.4053453629,0.842615945,1.18e-08,0.0666304994,0.5634644339,98.315,0.3443116064,Hip-Hop
695,0.3113244672,0.2916881798,0.8108574058,0.44010699,0.3621457004,0.1060185314,166.2,0.5480567941,Hip-Hop
